"[run number]","orange-yield","violet-merge-behind","spectator-mode","violet-displacement","orange-displacement","[step]","total-time"
"161","false","false","false","0","0.5","515","10000"
"166","false","false","false","0","0.5","506","10000"
"164","false","false","false","0","0.5","516","10000"
"162","false","false","false","0","0.5","631","10000"
"173","false","false","false","0","0.5","501","10000"
"171","false","false","false","0","0.5","567","10000"
"163","false","false","false","0","0.5","612","10000"
"172","false","false","false","0","0.5","547","10000"
"160","false","false","false","0","0.5","991","991"
"167","false","false","false","0","0.5","509","10000"
"169","false","false","false","0","0.5","648","10000"
"174","false","false","false","0","0.5","596","10000"
"175","false","false","false","0","0.5","505","10000"
"168","false","false","false","0","0.5","950","950"
"165","false","false","false","0","0.5","951","951"
"170","false","false","false","0","0.5","960","960"
"177","false","false","false","0","0.5","533","10000"
"180","false","false","false","0","0.5","502","10000"
"176","false","false","false","0","0.5","679","10000"
"178","false","false","false","0","0.5","582","10000"
"179","false","false","false","0","0.5","705","10000"
"183","false","false","false","0","0.5","501","10000"
"185","false","false","false","0","0.5","525","10000"
"181","false","false","false","0","0.5","501","10000"
"184","false","false","false","0","0.5","541","10000"
"182","false","false","false","0","0.5","773","10000"
"188","false","false","false","0","0.5","529","10000"
"192","false","false","false","0","0.5","501","10000"
"194","false","false","false","0","0.5","516","10000"
"195","false","false","false","0","0.5","525","10000"
"187","false","false","false","0","0.5","710","10000"
"186","false","false","false","0","0.5","981","981"
"190","false","false","false","0","0.5","783","10000"
"189","false","false","false","0","0.5","730","10000"
"191","false","false","false","0","0.5","587","10000"
"193","false","false","false","0","0.5","659","10000"
"198","false","false","false","0","0.5","502","10000"
"197","false","false","false","0","0.5","593","10000"
"201","false","false","false","0","1","594","10000"
"200","false","false","false","0","0.5","687","10000"
"196","false","false","false","0","0.5","981","981"
"199","false","false","false","0","0.5","704","10000"
"204","false","false","false","0","1","502","10000"
"209","false","false","false","0","1","503","10000"
"206","false","false","false","0","1","554","10000"
"202","false","false","false","0","1","548","10000"
"207","false","false","false","0","1","545","10000"
"203","false","false","false","0","1","581","10000"
"211","false","false","false","0","1","632","10000"
"210","false","false","false","0","1","617","10000"
"212","false","false","false","0","1","503","10000"
"205","false","false","false","0","1","691","10000"
"214","false","false","false","0","1","501","10000"
"219","false","false","false","0","1","506","10000"
"221","false","false","false","0","1","504","10000"
"208","false","false","false","0","1","967","967"
"218","false","false","false","0","1","522","10000"
"213","false","false","false","0","1","768","10000"
"215","false","false","false","0","1","617","10000"
"220","false","false","false","0","1","596","10000"
"216","false","false","false","0","1","503","10000"
"227","false","false","false","0","1","506","10000"
"222","false","false","false","0","1","606","10000"
"224","false","false","false","0","1","513","10000"
"226","false","false","false","0","1","551","10000"
"225","false","false","false","0","1","688","10000"
"217","false","false","false","0","1","902","902"
"223","false","false","false","0","1","585","10000"
"229","false","false","false","0","1","503","10000"
"228","false","false","false","0","1","676","10000"
"231","false","false","false","0","1","741","10000"
"233","false","false","false","0","1","689","10000"
"232","false","false","false","0","1","668","10000"
"230","false","false","false","0","1","734","10000"
"238","false","false","false","0","1","516","10000"
"235","false","false","false","0","1","501","10000"
"234","false","false","false","0","1","655","10000"
"241","false","false","false","0","1","514","10000"
"242","false","false","false","0","1","577","10000"
"239","false","false","false","0","1","533","10000"
"236","false","false","false","0","1","771","10000"
"244","false","false","false","0","1","502","10000"
"240","false","false","false","0","1","501","10000"
"243","false","false","false","0","1","624","10000"
"237","false","false","false","0","1","848","848"
"245","false","false","false","0","1","560","10000"
"249","false","false","false","0","1","575","10000"
"246","false","false","false","0","1","666","10000"
"250","false","false","false","0","1","518","10000"
"248","false","false","false","0","1","720","10000"
"251","false","false","false","0","1","616","10000"
"252","false","false","false","0","1","612","10000"
"254","false","false","false","0","1","592","10000"
"257","false","false","false","0","1","503","10000"
"247","false","false","false","0","1","950","950"
"258","false","false","false","0","1","592","10000"
"253","false","false","false","0","1","662","10000"
"259","false","false","false","0","1","590","10000"
"255","false","false","false","0","1","889","889"
"256","false","false","false","0","1","674","10000"
"262","false","false","false","0","1","682","10000"
"264","false","false","false","0","1","502","10000"
"266","false","false","false","0","1","530","10000"
"265","false","false","false","0","1","558","10000"
"260","false","false","false","0","1","912","912"
"268","false","false","false","0","1","592","10000"
"270","false","false","false","0","1","501","10000"
"261","false","false","false","0","1","876","876"
"273","false","false","false","0","1","512","10000"
"269","false","false","false","0","1","633","10000"
"267","false","false","false","0","1","770","10000"
"271","false","false","false","0","1","549","10000"
"263","false","false","false","0","1","968","968"
"272","false","false","false","0","1","790","10000"
"274","false","false","false","0","1","665","10000"
"278","false","false","false","0","1","501","10000"
"275","false","false","false","0","1","636","10000"
"279","false","false","false","0","1","613","10000"
"276","false","false","false","0","1","664","10000"
"281","false","false","false","0","1","612","10000"
"283","false","false","false","0","1","520","10000"
"277","false","false","false","0","1","854","854"
"284","false","false","false","0","1","506","10000"
"280","false","false","false","0","1","658","10000"
"287","false","false","false","0","1","520","10000"
"286","false","false","false","0","1","727","10000"
"282","false","false","false","0","1","501","10000"
"293","false","false","false","0","1","600","10000"
"285","false","false","false","0","1","832","10000"
"292","false","false","false","0","1","582","10000"
"294","false","false","false","0","1","642","10000"
"290","false","false","false","0","1","570","10000"
"291","false","false","false","0","1","534","10000"
"295","false","false","false","0","1","527","10000"
"289","false","false","false","0","1","989","989"
"298","false","false","false","0","1","521","10000"
"288","false","false","false","0","1","781","10000"
"297","false","false","false","0","1","668","10000"
"301","false","false","false","0","1.5","501","10000"
"305","false","false","false","0","1.5","501","10000"
"300","false","false","false","0","1","522","10000"
"296","false","false","false","0","1","865","865"
"303","false","false","false","0","1.5","501","10000"
"304","false","false","false","0","1.5","531","10000"
"306","false","false","false","0","1.5","505","10000"
"299","false","false","false","0","1","609","10000"
"308","false","false","false","0","1.5","521","10000"
"307","false","false","false","0","1.5","538","10000"
"311","false","false","false","0","1.5","539","10000"
"310","false","false","false","0","1.5","654","10000"
"302","false","false","false","0","1.5","879","879"
"309","false","false","false","0","1.5","946","946"
"318","false","false","false","0","1.5","509","10000"
"316","false","false","false","0","1.5","501","10000"
"319","false","false","false","0","1.5","501","10000"
"322","false","false","false","0","1.5","524","10000"
"321","false","false","false","0","1.5","530","10000"
"312","false","false","false","0","1.5","822","10000"
"314","false","false","false","0","1.5","839","839"
"324","false","false","false","0","1.5","534","10000"
"315","false","false","false","0","1.5","817","817"
"320","false","false","false","0","1.5","738","10000"
"313","false","false","false","0","1.5","949","949"
"323","false","false","false","0","1.5","511","10000"
"326","false","false","false","0","1.5","507","10000"
"317","false","false","false","0","1.5","982","982"
"328","false","false","false","0","1.5","557","10000"
"325","false","false","false","0","1.5","774","10000"
"329","false","false","false","0","1.5","631","10000"
"327","false","false","false","0","1.5","825","825"
"331","false","false","false","0","1.5","664","10000"
"337","false","false","false","0","1.5","508","10000"
"333","false","false","false","0","1.5","625","10000"
"338","false","false","false","0","1.5","689","10000"
"332","false","false","false","0","1.5","605","10000"
"335","false","false","false","0","1.5","503","10000"
"334","false","false","false","0","1.5","509","10000"
"330","false","false","false","0","1.5","869","869"
"340","false","false","false","0","1.5","572","10000"
"342","false","false","false","0","1.5","512","10000"
"343","false","false","false","0","1.5","532","10000"
"344","false","false","false","0","1.5","501","10000"
"339","false","false","false","0","1.5","877","877"
"336","false","false","false","0","1.5","888","888"
"346","false","false","false","0","1.5","580","10000"
"341","false","false","false","0","1.5","891","891"
"348","false","false","false","0","1.5","654","10000"
"349","false","false","false","0","1.5","586","10000"
"347","false","false","false","0","1.5","689","10000"
"352","false","false","false","0","1.5","503","10000"
"353","false","false","false","0","1.5","507","10000"
"345","false","false","false","0","1.5","856","856"
"356","false","false","false","0","1.5","540","10000"
"350","false","false","false","0","1.5","836","836"
"355","false","false","false","0","1.5","557","10000"
"351","false","false","false","0","1.5","607","10000"
"357","false","false","false","0","1.5","534","10000"
"354","false","false","false","0","1.5","598","10000"
"359","false","false","false","0","1.5","542","10000"
"360","false","false","false","0","1.5","592","10000"
"361","false","false","false","0","1.5","574","10000"
"363","false","false","false","0","1.5","554","10000"
"358","false","false","false","0","1.5","557","10000"
"366","false","false","false","0","1.5","558","10000"
"367","false","false","false","0","1.5","534","10000"
"368","false","false","false","0","1.5","506","10000"
"362","false","false","false","0","1.5","862","862"
"371","false","false","false","0","1.5","555","10000"
"365","false","false","false","0","1.5","827","827"
"373","false","false","false","0","1.5","517","10000"
"375","false","false","false","0","1.5","512","10000"
"376","false","false","false","0","1.5","568","10000"
"378","false","false","false","0","1.5","528","10000"
"364","false","false","false","0","1.5","976","976"
"372","false","false","false","0","1.5","739","10000"
"370","false","false","false","0","1.5","993","993"
"377","false","false","false","0","1.5","581","10000"
"380","false","false","false","0","1.5","504","10000"
"379","false","false","false","0","1.5","541","10000"
"374","false","false","false","0","1.5","891","891"
"381","false","false","false","0","1.5","547","10000"
"369","false","false","false","0","1.5","919","919"
