"[run number]","orange-yield","violet-merge-behind","spectator-mode","violet-displacement","orange-displacement","[step]","total-time"
"4040","false","true","false","2.5","2.5","601","10000"
"4041","false","true","false","2.5","2.5","649","10000"
"4033","false","true","false","2.5","2.5","899","899"
"4042","false","true","false","2.5","2.5","629","10000"
"4043","false","true","false","2.5","2.5","650","10000"
"4038","false","true","false","2.5","2.5","874","874"
"4039","false","true","false","2.5","2.5","902","902"
"4044","false","true","false","2.5","2.5","616","10000"
"4036","false","true","false","2.5","2.5","616","10000"
"4047","false","true","false","2.5","2.5","638","10000"
"4048","false","true","false","2.5","2.5","614","10000"
"4050","false","true","false","2.5","2.5","611","10000"
"4046","false","true","false","2.5","2.5","837","837"
"4051","false","true","false","2.5","2.5","600","10000"
"4045","false","true","false","2.5","2.5","905","905"
"4049","false","true","false","2.5","2.5","823","823"
"4052","false","true","false","2.5","2.5","646","10000"
"4053","false","true","false","2.5","2.5","660","10000"
"4055","false","true","false","2.5","2.5","608","10000"
"4058","false","true","false","2.5","2.5","618","10000"
"4057","false","true","false","2.5","2.5","669","10000"
"4054","false","true","false","2.5","2.5","836","836"
"4059","false","true","false","2.5","2.5","605","10000"
"4062","false","true","false","2.5","2.5","605","10000"
"4056","false","true","false","2.5","2.5","886","886"
"4061","false","true","false","2.5","2.5","687","10000"
"4060","false","true","false","2.5","2.5","870","870"
"4067","false","true","false","2.5","2.5","594","10000"
"4066","false","true","false","2.5","2.5","643","10000"
"4068","false","true","false","2.5","2.5","634","10000"
"4064","false","true","false","2.5","2.5","814","814"
"4063","false","true","false","2.5","2.5","886","886"
"4069","false","true","false","2.5","2.5","684","10000"
"4065","false","true","false","2.5","2.5","901","901"
"4070","false","true","false","2.5","2.5","630","10000"
"4071","false","true","false","2.5","2.5","870","870"
"4072","false","true","false","2.5","2.5","855","855"
"4073","false","true","false","2.5","2.5","886","886"
"4075","false","true","false","2.5","2.5","893","893"
"4079","false","true","false","2.5","2.5","633","10000"
"4080","false","true","false","2.5","2.5","619","10000"
"4076","false","true","false","2.5","2.5","904","904"
"4081","false","true","false","2.5","2.5","668","10000"
"4077","false","true","false","2.5","2.5","831","831"
"4078","false","true","false","2.5","2.5","858","858"
"4083","false","true","false","2.5","2.5","648","10000"
"4085","false","true","false","2.5","2.5","592","10000"
"4082","false","true","false","2.5","2.5","820","820"
"4074","false","true","false","2.5","2.5","842","842"
"4084","false","true","false","2.5","2.5","889","889"
"4086","false","true","false","2.5","2.5","674","10000"
"4088","false","true","false","2.5","2.5","686","10000"
"4090","false","true","false","2.5","2.5","623","10000"
"4087","false","true","false","2.5","2.5","812","812"
"4093","false","true","false","2.5","2.5","624","10000"
"4094","false","true","false","2.5","2.5","610","10000"
"4092","false","true","false","2.5","2.5","689","10000"
"4097","false","true","false","2.5","2.5","604","10000"
"4095","false","true","false","2.5","2.5","623","10000"
"4091","false","true","false","2.5","2.5","819","819"
"4096","false","true","false","2.5","2.5","625","10000"
"4089","false","true","false","2.5","2.5","895","895"
"4099","false","true","false","2.5","2.5","697","10000"
"4100","false","true","false","2.5","2.5","623","10000"
"4098","false","true","false","2.5","2.5","844","844"
"4108","false","true","false","2.5","3","591","10000"
"4107","false","true","false","2.5","3","591","10000"
"4101","false","true","false","2.5","3","884","884"
"4102","false","true","false","2.5","3","850","850"
"4103","false","true","false","2.5","3","812","812"
"4112","false","true","false","2.5","3","627","10000"
"4111","false","true","false","2.5","3","666","10000"
"4104","false","true","false","2.5","3","901","901"
"4105","false","true","false","2.5","3","804","804"
"4106","false","true","false","2.5","3","805","805"
"4110","false","true","false","2.5","3","819","819"
"4109","false","true","false","2.5","3","825","825"
"4114","false","true","false","2.5","3","663","10000"
"4113","false","true","false","2.5","3","853","853"
"4115","false","true","false","2.5","3","590","10000"
"4117","false","true","false","2.5","3","694","10000"
"4125","false","true","false","2.5","3","610","10000"
"4124","false","true","false","2.5","3","643","10000"
"4118","false","true","false","2.5","3","804","804"
"4119","false","true","false","2.5","3","798","798"
"4116","false","true","false","2.5","3","878","878"
"4121","false","true","false","2.5","3","797","797"
"4126","false","true","false","2.5","3","590","10000"
"4127","false","true","false","2.5","3","612","10000"
"4120","false","true","false","2.5","3","846","846"
"4122","false","true","false","2.5","3","885","885"
"4128","false","true","false","2.5","3","690","10000"
"4123","false","true","false","2.5","3","886","886"
"4129","false","true","false","2.5","3","670","10000"
"4130","false","true","false","2.5","3","879","879"
"4139","false","true","false","2.5","3","616","10000"
"4131","false","true","false","2.5","3","857","857"
"4133","false","true","false","2.5","3","677","10000"
"4135","false","true","false","2.5","3","827","827"
"4143","false","true","false","2.5","3","613","10000"
"4134","false","true","false","2.5","3","829","829"
"4140","false","true","false","2.5","3","859","859"
"4138","false","true","false","2.5","3","884","884"
"4137","false","true","false","2.5","3","851","851"
"4142","false","true","false","2.5","3","885","885"
"4144","false","true","false","2.5","3","899","899"
"4132","false","true","false","2.5","3","676","10000"
"4146","false","true","false","2.5","3","652","10000"
"4141","false","true","false","2.5","3","696","10000"
"4145","false","true","false","2.5","3","857","857"
"4136","false","true","false","2.5","3","885","885"
"4148","false","true","false","2.5","3","657","10000"
"4149","false","true","false","2.5","3","616","10000"
"4147","false","true","false","2.5","3","888","888"
"4154","false","true","false","2.5","3","812","812"
"4155","false","true","false","2.5","3","605","10000"
"4153","false","true","false","2.5","3","837","837"
"4152","false","true","false","2.5","3","817","817"
"4150","false","true","false","2.5","3","879","879"
"4156","false","true","false","2.5","3","682","10000"
"4151","false","true","false","2.5","3","901","901"
"4162","false","true","false","2.5","3","598","10000"
"4157","false","true","false","2.5","3","857","857"
"4159","false","true","false","2.5","3","824","824"
"4158","false","true","false","2.5","3","828","828"
"4160","false","true","false","2.5","3","832","832"
"4164","false","true","false","2.5","3","612","10000"
"4161","false","true","false","2.5","3","906","906"
"4166","false","true","false","2.5","3","604","10000"
"4165","false","true","false","2.5","3","637","10000"
"4163","false","true","false","2.5","3","898","898"
"4170","false","true","false","2.5","3","655","10000"
"4171","false","true","false","2.5","3","600","10000"
"4168","false","true","false","2.5","3","811","811"
"4167","false","true","false","2.5","3","830","830"
