"[run number]","orange-yield","violet-merge-behind","spectator-mode","violet-displacement","orange-displacement","[step]","total-time"
"161","true","true","false","0","0.5","841","10000"
"163","true","true","false","0","0.5","939","10000"
"164","true","true","false","0","0.5","894","10000"
"162","true","true","false","0","0.5","865","10000"
"156","true","true","false","0","0.5","875","10000"
"165","true","true","false","0","0.5","951","10000"
"166","true","true","false","0","0.5","892","10000"
"167","true","true","false","0","0.5","850","10000"
"169","true","true","false","0","0.5","849","10000"
"170","true","true","false","0","0.5","846","10000"
"175","true","true","false","0","0.5","865","10000"
"168","true","true","false","0","0.5","928","10000"
"174","true","true","false","0","0.5","857","10000"
"171","true","true","false","0","0.5","847","10000"
"173","true","true","false","0","0.5","899","10000"
"176","true","true","false","0","0.5","894","10000"
"177","true","true","false","0","0.5","927","10000"
"180","true","true","false","0","0.5","856","10000"
"179","true","true","false","0","0.5","852","10000"
"182","true","true","false","0","0.5","950","10000"
"178","true","true","false","0","0.5","942","10000"
"181","true","true","false","0","0.5","900","10000"
"172","true","true","false","0","0.5","866","10000"
"184","true","true","false","0","0.5","880","10000"
"187","true","true","false","0","0.5","836","10000"
"183","true","true","false","0","0.5","954","10000"
"186","true","true","false","0","0.5","856","10000"
"188","true","true","false","0","0.5","915","10000"
"189","true","true","false","0","0.5","955","10000"
"192","true","true","false","0","0.5","855","10000"
"190","true","true","false","0","0.5","952","10000"
"197","true","true","false","0","0.5","839","10000"
"194","true","true","false","0","0.5","918","10000"
"191","true","true","false","0","0.5","911","10000"
"193","true","true","false","0","0.5","885","10000"
"196","true","true","false","0","0.5","935","10000"
"185","true","true","false","0","0.5","847","10000"
"199","true","true","false","0","0.5","894","10000"
"198","true","true","false","0","0.5","862","10000"
"195","true","true","false","0","0.5","874","10000"
"200","true","true","false","0","0.5","890","10000"
"201","true","true","false","0","1","908","10000"
"202","true","true","false","0","1","895","10000"
"205","true","true","false","0","1","865","10000"
"203","true","true","false","0","1","933","10000"
"204","true","true","false","0","1","895","10000"
"207","true","true","false","0","1","901","10000"
"211","true","true","false","0","1","883","10000"
"213","true","true","false","0","1","941","10000"
"209","true","true","false","0","1","950","10000"
"212","true","true","false","0","1","909","10000"
"206","true","true","false","0","1","844","10000"
"210","true","true","false","0","1","914","10000"
